,6zsl_A_fpocket,6zsl_B_fpocket,6zsl_A_p2rank,6zsl_B_p2rank,IoU
5262,22,19,8,5,0.04895
1683,5,10,3,3,0.0489
3869,14,3,1,2,0.04877
2256,7,7,3,3,0.0486
3856,14,2,1,2,0.04858
1041,3,14,1,2,0.04858
2011,6,9,3,3,0.04813
4551,17,32,5,6,0.04807
3678,13,8,5,6,0.04807
2619,8,10,3,3,0.04803
2528,8,5,3,3,0.048
4877,19,19,1,4,0.048
6261,27,27,1,2,0.04794
630,2,14,1,2,0.04782
976,3,8,6,7,0.0476
5064,21,14,9,11,0.0476
6923,34,34,7,8,0.0476
2057,6,14,9,11,0.0476
3726,13,13,6,7,0.04724
3128,10,8,3,3,0.0472
3603,12,34,12,13,0.04718
6589,29,34,12,13,0.04718
3890,14,5,1,2,0.04706
6932,34,37,1,2,0.04706
2945,9,18,13,9,0.04697
5316,23,1,1,2,0.04694
1538,5,2,3,3,0.04694
1521,5,1,3,3,0.04694
855,3,2,6,7,0.0468
2499,8,3,6,7,0.0468
6508,29,14,12,13,0.04678
6498,29,13,12,13,0.04678
1611,5,5,8,5,0.04663
7158,38,38,3,12,0.0465
1514,5,1,1,2,0.04642
1418,4,19,4,1,0.0464
3910,14,6,9,11,0.0464
5439,23,14,1,2,0.0463
4381,16,28,9,11,0.04614
3465,11,32,7,8,0.04614
472,2,3,6,7,0.04602
7098,37,34,1,2,0.046
2909,9,9,3,3,0.0458
5727,24,24,3,3,0.04575
3744,13,14,12,13,0.04572
440,2,2,4,1,0.0457
4782,19,4,4,1,0.0457
2649,8,13,5,6,0.04544
6832,34,12,12,13,0.04544
1622,5,6,3,3,0.0453
4302,16,10,3,3,0.04523
4320,16,15,3,3,0.0452
6376,28,21,9,11,0.04517
4007,14,23,1,2,0.04504
2100,6,21,9,11,0.045
7109,37,37,3,2,0.04477
648,2,15,3,3,0.04477
480,2,4,1,2,0.04477
1250,4,2,1,2,0.04477
4292,16,9,3,3,0.04468
220,1,15,3,3,0.04462
289,1,23,1,2,0.04453
199,1,14,1,2,0.04453
6667,32,11,7,8,0.04443
2258,7,7,4,1,0.04443
7157,38,38,3,3,0.04443
3594,12,33,7,8,0.04443
2477,8,2,6,7,0.04434
105,1,6,6,7,0.0442
3842,14,1,1,2,0.0442
1804,5,23,1,2,0.0442
3234,10,19,8,5,0.04395
4274,16,6,3,3,0.0439
4203,15,25,3,3,0.0437
2152,6,28,9,11,0.0437
565,2,8,6,7,0.0435
397,1,37,1,2,0.0435
1335,4,8,1,2,0.0433
6267,27,27,3,3,0.04315
2506,8,4,1,2,0.04297
6993,37,1,1,2,0.0429
2999,9,29,13,9,0.0427
2573,8,8,1,4,0.0427
2073,6,16,3,3,0.04266
3209,10,16,3,3,0.04266
942,3,6,6,7,0.04263
3199,10,15,3,3,0.04227
3528,12,12,7,8,0.0421
136,1,8,6,7,0.042
5734,24,24,10,10,0.04196
3163,10,10,6,7,0.04196
3256,10,22,8,5,0.04193
2053,6,14,3,3,0.04187
530,2,6,6,7,0.04166
3589,12,32,7,8,0.04166
2454,8,1,6,7,0.04166
3231,10,19,4,1,0.04166
1317,4,6,1,2,0.04153
3074,10,4,8,5,0.04147
1613,5,5,13,9,0.04144
5691,24,18,13,9,0.0414
1655,5,8,5,6,0.04132
6902,34,29,12,13,0.04132
147,1,9,3,3,0.04132
5017,21,6,9,11,0.0413
1421,4,19,8,5,0.04123
4846,19,13,4,1,0.04123
1367,4,10,8,5,0.0411
6521,29,18,13,9,0.0411
888,3,3,13,9,0.04102
4229,16,1,3,3,0.041
1694,5,10,8,5,0.04092
3906,14,6,3,3,0.0408
1638,5,7,5,6,0.0408
1285,4,4,1,4,0.0407
6473,29,9,13,9,0.0407
875,3,3,4,1,0.04062
830,3,1,6,7,0.0406
4646,18,9,13,9,0.04022
6353,28,14,9,11,0.04022
1944,6,4,1,2,0.04016
2532,8,5,5,6,0.04016
2658,8,14,1,2,0.04
58,1,3,6,7,0.04
4837,19,10,4,1,0.04
1059,3,15,3,3,0.03986
2903,9,8,13,9,0.0398
5218,22,10,8,5,0.03955
4239,16,2,3,3,0.03952
2243,7,5,5,6,0.03952
3425,11,17,7,8,0.03946
4249,16,3,3,3,0.03937
5425,23,10,8,5,0.03934
3094,10,5,8,5,0.0393
422,2,1,6,7,0.03915
38,1,2,6,7,0.03915
1700,5,11,5,6,0.03906
3913,14,8,1,2,0.03897
1588,5,4,8,5,0.0388
6357,28,16,9,11,0.0387
2979,9,24,13,9,0.03867
21,1,1,12,13,0.03845
3462,11,32,5,6,0.03845
7105,37,37,1,3,0.03845
3141,10,9,3,3,0.03827
4758,19,2,4,1,0.03815
3357,11,5,5,6,0.03787
4714,18,24,13,9,0.03784
1575,5,4,1,2,0.0378
2878,9,4,13,9,0.03775
230,1,16,3,3,0.03775
682,2,19,4,1,0.03766
1314,4,5,8,5,0.03766
1305,4,5,2,1,0.03766
2609,8,9,13,9,0.03757
6724,32,33,5,6,0.0375
1238,4,1,1,2,0.0373
1712,5,13,5,6,0.0372
1776,5,19,8,5,0.0372
3069,10,4,4,1,0.03705
6664,32,11,5,6,0.03705
65,1,4,1,2,0.03705
6731,32,34,7,8,0.03705
5628,24,9,13,9,0.03705
5352,23,4,1,2,0.03705
2346,7,19,2,1,0.03705
4808,19,7,2,1,0.03705
7112,37,37,6,7,0.03705
5186,22,4,8,5,0.03705
4735,18,29,13,9,0.03705
3062,10,4,1,2,0.03687
5891,25,25,9,11,0.03677
1362,4,10,4,1,0.03668
2962,9,21,13,9,0.0366
4345,16,21,9,11,0.0366
5222,22,11,7,8,0.03638
4457,17,11,7,8,0.03638
1593,5,5,1,4,0.03625
658,2,16,3,3,0.03622
6905,34,32,7,8,0.03613
1417,4,19,2,1,0.03607
865,3,3,1,4,0.03607
1443,4,22,8,5,0.03607
6672,32,12,7,8,0.03604
575,2,9,3,3,0.03598
3837,13,34,12,13,0.03598
3434,11,22,7,8,0.03592
913,3,5,2,1,0.03586
3269,10,23,8,5,0.0357
3149,10,10,1,4,0.0357
4781,19,4,2,1,0.03552
1969,6,6,1,4,0.0355
4166,15,16,3,3,0.0355
1608,5,5,6,7,0.03534
1411,4,18,13,9,0.03534
3649,13,5,5,6,0.0353
5089,21,18,13,9,0.0353
1673,5,9,13,9,0.03525
6846,34,14,12,13,0.03522
2129,6,25,3,3,0.0351
4700,18,21,13,9,0.0351
987,3,9,3,3,0.03503
4610,18,4,13,9,0.035
5480,23,23,1,4,0.03497
6839,34,13,12,13,0.03497
1602,5,5,4,1,0.03482
1100,3,19,4,1,0.0348
6021,26,15,3,3,0.03467
4770,19,3,4,1,0.03464
1589,5,4,13,9,0.0345
1445,4,23,1,2,0.0345
5711,24,21,13,9,0.0345
981,3,8,13,9,0.0345
4064,14,37,1,2,0.03424
1667,5,9,3,3,0.03418
6207,27,10,1,2,0.03415
6937,34,37,3,3,0.0341
6909,34,33,7,8,0.0341
2167,6,34,3,3,0.0341
4319,16,14,9,11,0.0341
5276,22,22,13,9,0.0341
4488,17,17,12,13,0.0341
1352,4,9,13,9,0.03406
6331,28,6,9,11,0.03397
2504,8,3,13,9,0.0339
6790,34,6,3,3,0.0339
849,3,2,4,1,0.0339
6468,29,8,13,9,0.0338
6652,32,7,5,6,0.03378
905,3,4,13,9,0.03375
899,3,4,4,1,0.03375
6438,29,4,13,9,0.03366
593,2,10,4,1,0.0336
489,2,4,4,1,0.03357
1259,4,2,4,1,0.03357
6263,27,27,1,4,0.03357
1315,4,5,13,9,0.03348
1309,4,5,4,1,0.03348
5666,24,15,3,3,0.03348
3965,14,14,12,13,0.03333
7103,37,34,3,3,0.03333
6046,26,21,3,3,0.03333
3030,10,2,4,1,0.03333
4795,19,5,4,1,0.03333
4363,16,25,3,3,0.03333
3597,12,33,12,13,0.03333
1281,4,3,13,9,0.03333
4175,15,18,3,3,0.03333
3552,12,17,7,8,0.03333
3152,10,10,2,1,0.03333
466,2,3,4,1,0.03333
6719,32,32,7,6,0.03333
1275,4,3,4,1,0.03333
4111,15,6,3,3,0.03317
2938,9,17,13,9,0.0331
1661,5,8,13,9,0.03305
5363,23,4,8,5,0.03302
1802,5,22,8,5,0.03302
3939,14,10,3,3,0.03302
6811,34,8,3,3,0.03296
1069,3,16,3,3,0.03296
5039,21,9,13,9,0.03296
2872,9,3,13,9,0.03293
215,1,14,12,13,0.03293
2886,9,5,13,9,0.03293
3490,12,1,12,13,0.03293
1651,5,8,3,3,0.03293
3422,11,17,5,6,0.0329
2,1,1,1,4,0.03287
5106,21,21,3,3,0.03278
5989,26,11,7,8,0.03278
3469,11,33,5,6,0.03278
205,1,14,3,3,0.03278
2931,9,15,3,3,0.03278
4666,18,15,3,3,0.03278
502,2,5,2,1,0.0327
2708,8,18,13,9,0.0327
5259,22,19,4,1,0.03268
2421,7,34,2,1,0.03268
6796,34,7,2,1,0.03268
5902,25,28,9,11,0.03268
3862,14,2,3,3,0.03265
3848,14,1,3,3,0.03265
6413,29,1,12,13,0.03265
1374,4,13,4,1,0.03265
316,1,25,3,3,0.0325
5130,21,24,13,9,0.03244
2087,6,18,3,3,0.0324
4136,15,10,3,3,0.0324
6251,27,23,1,2,0.0324
2812,8,29,13,9,0.0324
5707,24,21,3,3,0.03226
6723,32,32,12,13,0.03226
5740,24,25,3,3,0.03226
3178,10,13,4,1,0.03226
3875,14,3,3,3,0.03226
5766,24,29,13,9,0.03226
2406,7,32,5,6,0.03226
2538,8,5,13,9,0.03214
2535,8,5,6,7,0.03214
636,2,14,3,3,0.03214
3978,14,16,9,11,0.03207
5075,21,16,9,11,0.03207
1047,3,14,3,3,0.032
4876,19,19,1,2,0.032
6088,26,26,13,9,0.032
1346,4,8,13,9,0.032
2140,6,27,1,2,0.03195
5267,22,22,5,6,0.03192
925,3,5,6,7,0.03186
929,3,5,13,9,0.03186
1573,5,3,13,9,0.03174
2349,7,19,4,1,0.03174
5465,23,19,8,5,0.03174
2517,8,4,13,9,0.03174
3450,11,26,7,8,0.03174
4182,15,21,3,3,0.03174
4811,19,7,4,1,0.03174
5500,23,27,1,2,0.03168
6174,27,6,1,2,0.03168
4905,19,22,4,1,0.03165
3882,14,4,1,2,0.03162
619,2,13,4,1,0.03162
2832,8,34,3,3,0.0316
5194,22,5,8,5,0.03152
4639,18,8,13,9,0.03152
1719,5,14,1,2,0.0315
2236,7,5,2,1,0.0315
6388,28,27,9,11,0.03143
3186,10,14,1,2,0.0314
6545,29,24,13,9,0.0314
3287,10,25,3,3,0.0314
4264,16,5,3,3,0.03137
1164,3,25,3,3,0.03125
5976,26,9,3,3,0.03125
7069,37,14,1,2,0.03125
1495,4,29,13,9,0.03125
1773,5,19,4,1,0.03125
993,3,9,13,9,0.03113
3191,10,14,3,3,0.03111
742,2,25,3,3,0.03104
366,1,29,12,13,0.031
3821,13,32,5,6,0.031
4286,16,8,3,3,0.03098
3986,14,18,3,3,0.03093
2331,7,15,3,3,0.03093
2675,8,15,3,3,0.03084
3617,13,1,12,13,0.03076
6517,29,17,13,9,0.03076
2985,9,26,3,3,0.03076
1456,4,23,8,5,0.0307
6817,34,10,1,2,0.03067
5721,24,24,1,2,0.03067
5264,22,22,2,1,0.03061
2139,6,26,3,3,0.03056
184,1,12,12,13,0.03053
6676,32,13,5,6,0.03053
1097,3,19,2,1,0.03044
1379,4,14,1,2,0.03041
1734,5,15,3,3,0.03041
963,3,8,1,4,0.0303
1764,5,18,13,9,0.0303
4767,19,3,2,1,0.0303
4454,17,11,5,6,0.0303
4089,15,3,3,3,0.03018
1583,5,4,4,1,0.03017
1885,5,37,1,2,0.03015
5622,24,9,3,3,0.03015
5646,24,12,10,10,0.03015
5672,24,15,10,10,0.03015
1006,3,10,4,1,0.03004
1686,5,10,4,1,0.03004
1091,3,18,13,9,0.03004
4153,15,14,3,3,0.03
5272,22,22,8,1,0.03
6568,29,29,7,8,0.03
6530,29,21,13,9,0.02994
878,3,3,5,6,0.02985
4080,15,2,3,3,0.02985
2098,6,21,3,3,0.02985
2314,7,13,2,1,0.02985
6189,27,8,1,2,0.02979
2485,8,3,1,4,0.02979
3970,14,15,3,3,0.02971
4199,15,24,10,10,0.02971
430,2,2,1,4,0.02971
3086,10,5,4,1,0.02966
4755,19,2,2,1,0.02966
6065,26,24,3,3,0.02956
892,3,4,1,4,0.02954
5746,24,25,10,10,0.02942
5477,23,22,8,5,0.02942
3051,10,3,4,1,0.02942
4279,16,6,9,11,0.02942
4071,15,1,3,3,0.02942
1577,5,4,1,4,0.02942
1088,3,18,3,3,0.02942
4449,17,9,13,9,0.02942
252,1,18,3,3,0.02942
4462,17,12,7,8,0.02942
443,2,2,5,6,0.02942
1867,5,29,13,9,0.02942
6432,29,3,13,9,0.02928
1302,4,5,1,4,0.02928
679,2,19,2,1,0.02928
5883,25,24,10,10,0.02927
3561,12,22,7,8,0.02919
1268,4,3,1,4,0.02916
6566,29,29,6,7,0.02913
6391,28,28,1,14,0.02913
4886,19,19,8,5,0.02913
1414,4,19,1,4,0.02913
1176,3,26,3,3,0.0291
514,2,5,6,7,0.0291
508,2,5,4,1,0.0291
2686,8,16,3,3,0.02905
5378,23,5,8,5,0.02905
4600,18,3,13,9,0.02905
327,1,26,3,3,0.02899
1658,5,8,6,7,0.02893
4342,16,21,3,3,0.0289
754,2,26,3,3,0.02888
6870,34,22,7,8,0.02884
3680,13,8,6,7,0.02884
6695,32,22,5,6,0.02884
5574,24,4,13,9,0.02881
6444,29,5,13,9,0.02881
2783,8,27,1,2,0.02881
5488,23,23,5,6,0.02878
5155,21,29,13,9,0.02873
4778,19,4,1,4,0.0287
1645,5,8,1,4,0.02869
198,1,13,12,13,0.02867
1814,5,23,8,5,0.02856
2078,6,16,9,11,0.02856
2905,9,9,1,2,0.02856
2907,9,9,1,9,0.02856
6755,34,2,3,3,0.02856
6630,31,31,3,3,0.02856
5227,22,12,7,8,0.02856
5297,22,32,5,6,0.02856
6121,27,1,1,2,0.02856
4548,17,29,13,9,0.02856
6164,27,5,1,2,0.02846
2144,6,27,3,3,0.02844
6766,34,3,3,3,0.02844
6071,26,25,3,3,0.0283
6742,34,1,3,3,0.0283
6805,34,8,1,2,0.02824
2577,8,8,2,1,0.02824
5280,22,23,8,5,0.02824
6783,34,5,3,3,0.02817
6264,27,27,2,1,0.02817
4621,18,5,13,9,0.0281
2201,7,2,3,3,0.0281
2521,8,5,1,4,0.0281
89,1,5,6,7,0.02808
1209,3,29,13,9,0.028
539,2,7,3,3,0.028
672,2,18,3,3,0.028
3757,13,17,5,6,0.02797
3153,10,10,3,2,0.02797
3253,10,22,4,1,0.02794
2602,8,9,3,3,0.02791
4193,15,24,3,3,0.02791
919,3,5,4,1,0.0279
909,3,5,1,4,0.0279
3222,10,18,3,3,0.02777
1554,5,3,1,4,0.02777
6659,32,8,5,6,0.02777
2906,9,9,1,4,0.02777
1569,5,3,6,7,0.02777
2727,8,21,13,9,0.02777
5751,24,26,3,3,0.02777
4026,14,25,3,3,0.02777
6178,27,6,3,3,0.02777
1032,3,13,4,1,0.02766
2959,9,21,3,3,0.02762
5414,23,10,1,4,0.02762
6773,34,4,2,1,0.02762
3148,10,10,1,3,0.02759
1337,4,8,1,4,0.02756
5616,24,8,13,9,0.02756
1356,4,10,1,4,0.02753
5311,22,34,7,8,0.02753
6786,34,6,1,2,0.02747
2215,7,3,3,3,0.02745
5888,25,25,3,3,0.0274
2764,8,24,13,9,0.02734
1742,5,16,3,3,0.02734
2508,8,4,1,4,0.02734
5129,21,24,9,11,0.02733
2542,8,6,1,4,0.02727
2651,8,13,6,7,0.02727
1677,5,10,1,4,0.02727
6853,34,17,7,8,0.02727
5029,21,8,13,9,0.02715
336,1,27,1,2,0.02713
1113,3,21,3,3,0.02713
2826,8,34,1,2,0.02702
6655,32,7,7,8,0.02702
4317,16,14,3,3,0.02702
1465,4,24,13,9,0.02702
6284,27,34,3,3,0.02702
3658,13,6,6,7,0.0269
3162,10,10,6,3,0.02684
6145,27,3,1,2,0.02682
5304,22,33,5,6,0.02678
1767,5,19,1,4,0.02678
4479,17,17,1,9,0.02678
6576,29,32,7,8,0.02678
2021,6,10,1,4,0.02667
2335,7,17,5,6,0.0266
4431,17,7,5,6,0.0266
5182,22,4,4,1,0.0266
4885,19,19,8,1,0.02655
6581,29,33,7,8,0.02655
3599,12,34,7,8,0.02655
1627,5,6,6,7,0.02652
1829,5,24,13,9,0.02652
4493,17,18,13,9,0.02649
2626,8,10,6,7,0.02643
795,2,34,3,3,0.02643
1991,6,8,1,4,0.02643
124,1,8,1,4,0.02641
6133,27,2,1,2,0.02641
2613,8,10,1,4,0.02632
5215,22,10,4,1,0.02632
6990,35,35,1,2,0.02632
2818,8,32,5,6,0.02632
4679,18,18,2,1,0.02632
6281,27,34,2,1,0.02632
5531,24,1,3,3,0.02632
4044,14,27,9,11,0.02632
2441,8,1,1,4,0.02621
5589,24,5,13,9,0.02621
3297,10,26,3,3,0.0262
4832,19,10,1,4,0.02618
271,1,21,3,3,0.02612
4816,19,8,1,4,0.0261
6584,29,33,12,13,0.0261
386,1,34,3,3,0.0261
1094,3,19,1,4,0.0261
4126,15,9,3,3,0.02605
3997,14,21,3,3,0.02605
5935,26,3,3,3,0.02602
5927,26,2,3,3,0.02602
5565,24,3,13,9,0.02602
3572,12,26,7,8,0.02597
6726,32,33,7,6,0.02597
6892,34,27,3,3,0.02597
973,3,8,5,6,0.02597
3135,10,8,6,7,0.02597
4764,19,3,1,4,0.02597
4063,14,34,12,13,0.02597
5558,24,3,3,3,0.02592
4719,18,25,3,3,0.02591
1439,4,22,4,1,0.02591
2711,8,19,1,4,0.02586
6712,32,29,7,8,0.02586
817,3,1,1,4,0.02583
2934,9,16,3,3,0.02577
4843,19,13,2,1,0.02577
1012,3,10,6,7,0.02576
997,3,10,1,4,0.02576
2228,7,4,4,1,0.02576
5915,26,1,3,3,0.02574
3092,10,5,6,7,0.02563
692,2,21,3,3,0.02563
2977,9,24,3,3,0.02563
5875,25,21,9,11,0.02563
1329,4,7,4,1,0.02563
6828,34,12,7,8,0.02563
6730,32,33,12,13,0.02563
839,3,2,1,4,0.02553
2496,8,3,5,6,0.02553
4034,14,26,3,3,0.02551
3976,14,16,3,3,0.02551
1502,4,34,2,1,0.02551
4219,15,29,10,10,0.02548
4672,18,17,13,9,0.02548
5994,26,12,7,8,0.02548
1159,3,24,13,9,0.02545
46,1,3,1,4,0.02545
3107,10,6,6,7,0.02542
4565,17,34,7,8,0.02542
4789,19,5,1,4,0.02542
4369,16,26,3,3,0.02538
1182,3,27,1,2,0.02536
6889,34,27,2,1,0.02531
4628,18,6,3,3,0.02531
2413,7,33,5,6,0.02531
4998,21,4,13,9,0.02531
1151,3,24,3,3,0.02527
304,1,24,3,3,0.02527
1526,5,1,6,7,0.02527
1547,5,2,6,7,0.02527
1541,5,2,4,1,0.02527
1407,4,18,2,1,0.02525
5137,21,25,9,11,0.02525
4578,18,1,3,3,0.0252
6195,27,8,3,3,0.0252
3057,10,3,6,7,0.0252
4558,17,33,5,6,0.0252
599,2,10,6,7,0.0252
2120,6,24,3,3,0.0252
2189,7,1,3,3,0.02518
2342,7,18,2,1,0.02513
5146,21,27,9,11,0.02513
4357,16,24,3,3,0.02513
456,2,3,1,4,0.0251
6157,27,4,1,2,0.0251
1431,4,21,13,9,0.0251
6127,27,1,3,3,0.025
3556,12,17,12,13,0.025
3036,10,2,6,7,0.025
1979,6,6,6,7,0.025
5958,26,6,3,3,0.025
760,2,27,1,2,0.025
1516,5,1,1,4,0.025
6991,35,35,1,4,0.025
1987,6,7,3,3,0.0249
1790,5,21,13,9,0.0249
3508,12,6,12,13,0.02487
2981,9,25,3,3,0.02487
5544,24,2,3,3,0.02483
4674,18,18,1,2,0.0248
852,3,2,5,6,0.0248
6635,31,34,3,3,0.0248
4677,18,18,1,9,0.0248
584,2,10,1,4,0.0248
2317,7,13,4,1,0.02475
452,2,2,12,13,0.02475
114,1,7,3,3,0.02473
1834,5,25,3,3,0.02473
1978,6,6,6,3,0.02469
2699,8,17,13,9,0.02463
6024,26,16,3,3,0.02463
2694,8,17,5,6,0.02463
6563,29,29,1,9,0.0246
78,1,5,1,4,0.02457
6386,28,25,9,11,0.02454
6220,27,14,1,2,0.0245
4038,14,27,1,2,0.0245
